id,name,sex,age,party,type
Pl,Platzeck,1,4,11,0
11,SPD,NA,NA,11,1
Po,Pofalla,1,4,9,0
9,CDU,NA,NA,9,1
5,Industrie,NA,NA,NA,1
Pr,Praetorius,2,NA,NA,0
7,Wissenschaft,NA,NA,NA,1
4,Umweltschutz,NA,NA,NA,1
Ti,Tillich,1,4,9,0
Ha,Hasselfeldt,2,4,10,0
10,CSU,NA,NA,10,1
Ka,Kampeter,1,3,9,0
2,Verband,NA,NA,NA,1
Kap,Kapferer,1,3,NA,0
6,Energieunternehmen,NA,NA,NA,1
Ke,Kempf,1,4,NA,0
Ne,Nemat,2,3,NA,0
Re,Reiche,2,2,9,0
Roe,Roestel,2,3,12,0
12,Gruene,NA,NA,12,1
Schw,Schweitzer,1,3,NA,0
Gr,Grothus,2,3,NA,0
Wo,Wodtke,2,NA,9,0
He,Herntier,2,4,NA,0
8,Regionalvertreter,NA,NA,NA,1
Kr,Kreuzberg,1,4,9,0
Pri,Priggen,1,4,12,0
Va,Vassiliadis,1,3,11,0
3,Gewerkschaft,NA,NA,NA,1
Sche,Scheidt,1,3,11,0
Koe,Körzell,1,3,11,0
Ka,Kaiser,1,3,NA,0
We,Weiger,1,5,NA,0
Ni,Niebert,1,1,NA,0
Al,Allmendinger,2,4,NA,0
Ma,Matthes,1,3,NA,0
Schel,Schellnhuber,1,4,NA,0
Nie,Niebuhr,2,NA,NA,0
Weh,Wehrspohn,1,2,NA,0
13,Anderes,NA,NA,NA,1
