id,name,sex,age,party,type
Platzeck,Platzeck,1,4,11,0
11,SPD,NA,NA,11,1
Pofalla,Pofalla,1,4,9,0
9,CDU,NA,NA,9,1
5,Industrie,NA,NA,NA,1
Praetorius,Praetorius,2,NA,NA,0
7,Wissenschaft,NA,NA,NA,1
4,Umweltschutz,NA,NA,NA,1
Tillich,Tillich,1,4,9,0
Hasselfeldt,Hasselfeldt,2,4,10,0
10,CSU,NA,NA,10,1
Kampeter,Kampeter,1,3,9,0
2,Verband,NA,NA,NA,1
Kapferer,Kapferer,1,3,NA,0
NA,FDP,NA,NA,NA,1
6,Energieunternehmen,NA,NA,NA,1
Kempf,Kempf,1,4,NA,0
Nemat,Nemat,2,3,NA,0
Reiche,Reiche,2,2,9,0
Roestel,Roestel,2,3,12,0
12,Gruene,NA,NA,12,1
Schweitzer,Schweitzer,1,3,NA,0
Grothus,Grothus,2,3,NA,0
Wodtke,Wodtke,2,NA,9,0
Herntier,Herntier,2,4,NA,0
8,Regionalvertreter,NA,NA,NA,1
Kreuzberg,Kreuzberg,1,4,9,0
Priggen,Priggen,1,4,12,0
Vassiliadis,Vassiliadis,1,3,11,0
3,Gewerkschaft,NA,NA,NA,1
Scheidt,Scheidt,1,3,11,0
Körzell,Körzell,1,3,11,0
Kaiser,Kaiser,1,3,NA,0
Weiger,Weiger,1,5,NA,0
Niebert,Niebert,1,1,NA,0
Allmendinger,Allmendinger,2,4,NA,0
Matthes,Matthes,1,3,NA,0
Schellnhuber,Schellnhuber,1,4,NA,0
Niebuhr,Niebuhr,2,NA,NA,0
Wehrspohn,Wehrspohn,1,2,NA,0
