from,to,relationship,weight
Pl,SPD,11,1
Pl,deutschrussischesforum,13,3
Po,CDU,9,1
Po,industrie,5,3
Pr,wissenschaft,7,2
Pr,umweltschutz,4,1
Ti,CDU,9,1
Ha,CSU,10,1
Ha,deutschesroteskreuz,13,3
Ka,CDU,9,1
Ka,verband,2,3
Kap,politik,1,1
Kap,energieunternehmen,6,3
Ke,industrie,5,3
Ne,industrie,5,3
Re,CDU,9,1
Re,verband,2,3
Roe,Gruene,12,1
Roe,energieunternehmen,6,3
Schw,verband,2,3
Schw,energieunternehmen,6,3
Gr,umweltschutz,4,2
Wo,CDU,9,2
Wo,umweltschutz,4,2
He,regionalvertreter,8,3
Kr,CDU,9,2
Kr,regionalvertreter,8,2
Pri,Gruene,12,1
Pri,umweltschutz,4,3
Va,SPD,11,1
Va,gewerkschaft,3,3
Sche,SPD,11,1
Sche,energieunternehmen,6,2
Koe,SPD,11,1
Koe,gewerkschaft,3,3
Kai,umweltschutz,4,3
We,umweltschutz,4,3
Ni,umweltschutz,4,3
Al,wissenschaft,7,NA
Ma,wissenschaft,7,NA
Schel,wissenschaft,7,NA
Nie,wissenschaft,7,NA
Weh,wissenschaft,7,NA
